CUSTOMERNAME,PRICEEACH,SALES,ORDERDATE,STATUS,PRODUCTLINE,QUANTITYORDERED,CITY,COUNTRY
Land of Toys Inc.,95.7,2871,2/24/2003 0:00,Shipped,Motorcycles,30,NYC,USA
Reims Collectables,81.35,2765.9,05-07-03 0:00,Shipped,Motorcycles,34,Reims,France
Lyon Souveniers,94.74,3884.34,07-01-03 0:00,Shipped,Motorcycles,41,Paris,France
Toys4GrownUps.com,83.26,3746.7,8/25/2003 0:00,Shipped,Motorcycles,45,Pasadena,USA
Corporate Gift Ideas Co.,100,5205.27,10-10-03 0:00,Shipped,Motorcycles,49,San Francisco,USA
Technics Stores Inc.,96.66,3479.76,10/28/2003 0:00,Shipped,Motorcycles,36,Burlingame,USA
Daedalus Designs Imports,86.13,2497.77,11-11-03 0:00,Shipped,Motorcycles,29,Lille,France
Herkku Gifts,100,5512.32,11/18/2003 0:00,Shipped,Motorcycles,48,Bergen,Norway
Mini Wheels Co.,98.57,2168.54,12-01-03 0:00,Shipped,Motorcycles,22,San Francisco,USA
Auto Canal Petit,100,4708.44,1/15/2004 0:00,Shipped,Motorcycles,41,Paris,France
"Australian Collectors, Co.",100,3965.66,2/20/2004 0:00,Shipped,Motorcycles,37,Melbourne,Australia
Vitachrome Inc.,100,2333.12,04-05-04 0:00,Shipped,Motorcycles,23,NYC,USA
Tekni Collectables Inc.,100,3188.64,5/18/2004 0:00,Shipped,Motorcycles,28,Newark,USA
Gift Depot Inc.,100,3676.76,6/28/2004 0:00,Shipped,Motorcycles,34,Bridgewater,USA
La Rochelle Gifts,92.83,4177.35,7/23/2004 0:00,Shipped,Motorcycles,45,Nantes,France
Marta's Replicas Co.,100,4099.68,8/27/2004 0:00,Shipped,Motorcycles,36,Cambridge,USA
"Toys of Finland, Co.",100,2597.39,9/30/2004 0:00,Shipped,Motorcycles,23,Helsinki,Finland
Baane Mini Imports,100,4394.38,10/15/2004 0:00,Shipped,Motorcycles,41,Stavern,Norway
Diecast Classics Inc.,94.74,4358.04,11-02-04 0:00,Shipped,Motorcycles,46,Allentown,USA
Land of Toys Inc.,100,4396.14,11/15/2004 0:00,Shipped,Motorcycles,42,NYC,USA
Salzburg Collectables,100,7737.93,11/24/2004 0:00,Shipped,Motorcycles,41,Salzburg,Austria
Souveniers And Things Co.,72.55,1451,12/17/2004 0:00,Shipped,Motorcycles,20,Chatswood,Australia
La Rochelle Gifts,34.91,733.11,02-03-05 0:00,Shipped,Motorcycles,21,Nantes,France
FunGiftIdeas.com,76.36,3207.12,03-03-05 0:00,Shipped,Motorcycles,42,New Bedford,USA
"UK Collectables, Ltd.",100,2434.56,04-08-05 0:00,Shipped,Motorcycles,24,Liverpool,UK
Euro Shopping Channel,100,7516.08,5/13/2005 0:00,Disputed,Motorcycles,66,Madrid,Spain
Baane Mini Imports,100,5404.62,1/29/2003 0:00,Shipped,Classic Cars,26,Stavern,Norway
"Volvo Model Replicas, Co",100,7209.11,3/24/2003 0:00,Shipped,Classic Cars,29,Lule,Sweden
"Corrida Auto Replicas, Ltd",100,7329.06,5/28/2003 0:00,Shipped,Classic Cars,38,Madrid,Spain
Technics Stores Inc.,100,7374.1,7/24/2003 0:00,Shipped,Classic Cars,37,Burlingame,USA
"Dragon Souveniers, Ltd.",100,10993.5,9/19/2003 0:00,Shipped,Classic Cars,45,Singapore,Singapore
Classic Legends Inc.,100,4860.24,10/20/2003 0:00,Shipped,Classic Cars,21,NYC,USA
"Australian Gift Network, Co",100,8014.82,11-06-03 0:00,Shipped,Classic Cars,34,South Brisbane,Australia
"Classic Gift Ideas, Inc",100,5372.57,11/13/2003 0:00,Shipped,Classic Cars,23,Philadelphia,USA
"Saveley & Henriot, Co.",100,7290.36,11/25/2003 0:00,Shipped,Classic Cars,42,Lyon,France
Canadian Gift Exchange Network,100,9064.89,12-05-03 0:00,Shipped,Classic Cars,47,Vancouver,Canada
West Coast Collectables Co.,100,6075.3,1/29/2004 0:00,Shipped,Classic Cars,35,Burbank,USA
Cambridge Collectables Co.,100,6463.23,03-10-04 0:00,Shipped,Classic Cars,29,Cambridge,USA
Super Scale Inc.,100,6120.34,05-04-04 0:00,Shipped,Classic Cars,34,New Haven,USA
"Tokyo Collectables, Ltd",100,7680.64,6/15/2004 0:00,Shipped,Classic Cars,32,Minato-ku,Japan
Souveniers And Things Co.,100,4905.39,7/19/2004 0:00,Shipped,Classic Cars,21,Chatswood,Australia
Amica Models & Co.,100,8014.82,8/17/2004 0:00,Shipped,Classic Cars,34,Torino,Italy
Scandinavian Gift Ideas,100,7136.19,09-08-04 0:00,Shipped,Classic Cars,37,Boras,Sweden
Auto Assoc. & Cie.,100,10172.7,10-11-04 0:00,Shipped,Classic Cars,47,Versailles,France
Mini Gifts Distributors Ltd.,100,11623.7,10/21/2004 0:00,Shipped,Classic Cars,48,San Rafael,USA
Online Diecast Creations Co.,100,6000.4,11-04-04 0:00,Shipped,Classic Cars,40,Nashua,USA
Mini Wheels Co.,100,3003,11/18/2004 0:00,Shipped,Classic Cars,26,San Francisco,USA
"Australian Collectors, Co.",100,3944.7,11/29/2004 0:00,Shipped,Classic Cars,30,Melbourne,Australia
Mini Gifts Distributors Ltd.,100,5691.84,12-10-04 0:00,Shipped,Classic Cars,32,San Rafael,USA
Collectables For Less Inc.,100,4514.92,1/20/2005 0:00,Shipped,Classic Cars,41,Brickhaven,USA
Corporate Gift Ideas Co.,100,8254.8,2/17/2005 0:00,Shipped,Classic Cars,36,San Francisco,USA
"Anna's Decorations, Ltd",100,2416.56,03-09-05 0:00,Shipped,Classic Cars,24,North Sydney,Australia
Quebec Home Shopping Network,100,4140.23,05-01-05 0:00,Shipped,Classic Cars,23,Montreal,Canada
Euro Shopping Channel,100,12001,5/31/2005 0:00,In Process,Classic Cars,50,Madrid,Spain
Land of Toys Inc.,99.91,3896.49,2/24/2003 0:00,Shipped,Motorcycles,39,NYC,USA
"Australian Collectors, Co.",96.34,2793.86,4/29/2003 0:00,Shipped,Motorcycles,29,Melbourne,Australia
Lyon Souveniers,100,3307.77,07-01-03 0:00,Shipped,Motorcycles,27,Paris,France
Toys4GrownUps.com,100,5192.95,8/25/2003 0:00,Shipped,Motorcycles,37,Pasadena,USA
Corporate Gift Ideas Co.,100,5016.83,10-10-03 0:00,Shipped,Motorcycles,37,San Francisco,USA
Technics Stores Inc.,100,3660.93,10/28/2003 0:00,Shipped,Motorcycles,27,Burlingame,USA
Daedalus Designs Imports,100,4695.6,11-11-03 0:00,Shipped,Motorcycles,42,Lille,France
Herkku Gifts,96.34,3660.92,11/18/2003 0:00,Shipped,Motorcycles,38,Bergen,Norway
Mini Wheels Co.,100,3025.92,12-01-03 0:00,Shipped,Motorcycles,24,San Francisco,USA
Osaka Souveniers Co.,100,3009.09,01-12-04 0:00,Shipped,Motorcycles,23,Osaka,Japan
"Australian Collectors, Co.",100,5422.39,2/20/2004 0:00,Shipped,Motorcycles,47,Melbourne,Australia
Motor Mint Distributors Inc.,100,2852.08,04-03-04 0:00,Shipped,Motorcycles,22,Philadelphia,USA
Tekni Collectables Inc.,100,5756.52,5/18/2004 0:00,Shipped,Motorcycles,44,Newark,USA
Gift Depot Inc.,100,4472,6/28/2004 0:00,Shipped,Motorcycles,40,Bridgewater,USA
La Rochelle Gifts,100,2904.44,7/23/2004 0:00,Shipped,Motorcycles,22,Nantes,France
Marta's Replicas Co.,100,6484.59,8/27/2004 0:00,Shipped,Motorcycles,47,Cambridge,USA
Atelier graphique,96.34,3757.26,9/27/2004 0:00,Shipped,Motorcycles,39,Nantes,France
Mini Classics,100,4043.96,10/15/2004 0:00,Shipped,Motorcycles,34,White Plains,USA
Diecast Classics Inc.,100,5566.5,11-02-04 0:00,Shipped,Motorcycles,45,Allentown,USA
Land of Toys Inc.,100,3176,11/15/2004 0:00,Shipped,Motorcycles,20,NYC,USA
"Tokyo Collectables, Ltd",68.92,2756.8,11/23/2004 0:00,Shipped,Motorcycles,40,Minato-ku,Japan
Souveniers And Things Co.,51.15,1329.9,12/17/2004 0:00,Shipped,Motorcycles,26,Chatswood,Australia
"Australian Gift Network, Co",100,5288.01,02-02-05 0:00,Shipped,Motorcycles,39,South Brisbane,Australia
FunGiftIdeas.com,44.51,2225.5,03-03-05 0:00,Shipped,Motorcycles,50,New Bedford,USA
Auto Canal Petit,100,5833.8,04-07-05 0:00,Shipped,Motorcycles,45,Paris,France
Euro Shopping Channel,100,5887.35,5/13/2005 0:00,Disputed,Motorcycles,45,Madrid,Spain
Land of Toys Inc.,100,6065.55,2/24/2003 0:00,Shipped,Motorcycles,27,NYC,USA
"Australian Collectors, Co.",100,9264.86,4/29/2003 0:00,Shipped,Motorcycles,46,Melbourne,Australia
Lyon Souveniers,100,7023.98,07-01-03 0:00,Shipped,Motorcycles,31,Paris,France
Toys4GrownUps.com,100,5176.38,8/25/2003 0:00,Shipped,Motorcycles,33,Pasadena,USA
Corporate Gift Ideas Co.,100,4132.7,10-10-03 0:00,Shipped,Motorcycles,22,San Francisco,USA
Technics Stores Inc.,100,4183,10/28/2003 0:00,Shipped,Motorcycles,20,Burlingame,USA
Daedalus Designs Imports,100,8892.9,11-11-03 0:00,Shipped,Motorcycles,41,Lille,France
Herkku Gifts,100,8714.7,11/18/2003 0:00,Shipped,Motorcycles,45,Bergen,Norway
Mini Wheels Co.,100,8065.89,12-01-03 0:00,Shipped,Motorcycles,49,San Francisco,USA
Osaka Souveniers Co.,100,6123.4,01-12-04 0:00,Shipped,Motorcycles,34,Osaka,Japan
"Australian Collectors, Co.",100,9774.03,2/20/2004 0:00,Shipped,Motorcycles,49,Melbourne,Australia
Vitachrome Inc.,100,7023.9,04-05-04 0:00,Shipped,Motorcycles,39,NYC,USA
Tekni Collectables Inc.,100,7078.23,5/18/2004 0:00,Shipped,Motorcycles,43,Newark,USA
Gift Depot Inc.,100,8336.94,6/28/2004 0:00,Shipped,Motorcycles,41,Bridgewater,USA
La Rochelle Gifts,100,6901.92,7/23/2004 0:00,Shipped,Motorcycles,36,Nantes,France
Marta's Replicas Co.,100,5438.07,8/27/2004 0:00,Shipped,Motorcycles,27,Cambridge,USA
"Toys of Finland, Co.",100,6683.34,9/30/2004 0:00,Shipped,Motorcycles,29,Helsinki,Finland
Mini Classics,100,4570.4,10/15/2004 0:00,Shipped,Motorcycles,20,White Plains,USA
Diecast Classics Inc.,100,7667.14,11-02-04 0:00,Shipped,Motorcycles,37,Allentown,USA
Land of Toys Inc.,100,5868.2,11/15/2004 0:00,Shipped,Motorcycles,26,NYC,USA
"Tokyo Collectables, Ltd",76.67,2990.13,11/23/2004 0:00,Shipped,Motorcycles,39,Minato-ku,Japan
Technics Stores Inc.,100,3664.1,01-05-05 0:00,Shipped,Motorcycles,22,Burlingame,USA
"Australian Gift Network, Co",100,3834.38,02-02-05 0:00,Shipped,Motorcycles,22,South Brisbane,Australia
FunGiftIdeas.com,86.77,1822.17,03-03-05 0:00,Shipped,Motorcycles,21,New Bedford,USA
"UK Collectables, Ltd.",100,11886.6,04-08-05 0:00,Shipped,Motorcycles,66,Liverpool,UK
Euro Shopping Channel,100,9218.16,5/13/2005 0:00,Disputed,Motorcycles,56,Madrid,Spain
Danish Wholesale Imports,100,7208,02-11-03 0:00,Shipped,Classic Cars,50,Kobenhavn,Denmark
Salzburg Collectables,100,5004.8,4/28/2003 0:00,Shipped,Classic Cars,46,Salzburg,Austria
"Stylish Desk Decors, Co.",100,4398.24,06-12-03 0:00,Shipped,Classic Cars,33,London,UK
Mini Creations Ltd.,100,5597.76,08-10-03 0:00,Shipped,Classic Cars,49,New Bedford,USA
"Toys of Finland, Co.",100,4526.08,10-06-03 0:00,Shipped,Classic Cars,32,Helsinki,Finland
Scandinavian Gift Ideas,100,5924.16,10/23/2003 0:00,Cancelled,Classic Cars,44,Boras,Sweden
Alpha Cognac,100,3492.48,11-08-03 0:00,Shipped,Classic Cars,24,Toulouse,France
"Double Decker Gift Stores, Ltd",100,3854.24,11/14/2003 0:00,Shipped,Classic Cars,26,London,UK
Enaco Distributors,100,5324.4,11/26/2003 0:00,Shipped,Classic Cars,45,Barcelona,Spain
"Men 'R' US Retailers, Ltd.",100,5197.92,01-09-04 0:00,Shipped,Classic Cars,39,Los Angeles,USA
Collectable Mini Designs Co.,100,5997.6,2/19/2004 0:00,Shipped,Classic Cars,49,San Diego,USA
Land of Toys Inc.,100,2910.4,05-07-04 0:00,Cancelled,Classic Cars,20,NYC,USA
Quebec Home Shopping Network,100,3378.24,6/17/2004 0:00,Shipped,Classic Cars,27,Montreal,Canada
Petit Auto,100,3508.8,7/21/2004 0:00,Shipped,Classic Cars,30,Bruxelles,Belgium
"Royal Canadian Collectables, Ltd.",100,2992,8/20/2004 0:00,Shipped,Classic Cars,25,Tsawassen,Canada
Gifts4AllAges.com,100,3427.2,09-10-04 0:00,Shipped,Classic Cars,24,Boston,USA
"Classic Gift Ideas, Inc",100,2692.8,10/14/2004 0:00,Shipped,Classic Cars,22,Philadelphia,USA
giftsbymail.co.uk,100,4128.96,11-01-04 0:00,Shipped,Classic Cars,33,Cowes,UK
Baane Mini Imports,64.93,3051.71,11-05-04 0:00,Shipped,Classic Cars,47,Stavern,Norway
Classic Legends Inc.,48.05,1201.25,11/21/2004 0:00,Shipped,Classic Cars,25,NYC,USA
Euro Shopping Channel,75.47,1962.22,12-02-04 0:00,Shipped,Classic Cars,26,Madrid,Spain
Reims Collectables,54.68,2624.64,12/15/2004 0:00,Shipped,Classic Cars,48,Reims,France
"Oulu Toy Supplies, Inc.",100,4046.25,1/31/2005 0:00,Shipped,Classic Cars,39,Oulu,Finland
Corporate Gift Ideas Co.,100,4846.7,2/23/2005 0:00,Shipped,Classic Cars,34,San Francisco,USA
Lyon Souveniers,100,3370.56,3/17/2005 0:00,Shipped,Classic Cars,32,Paris,France
The Sharp Gifts Warehouse,100,9661.44,04-01-05 0:00,Shipped,Classic Cars,64,San Jose,USA
Gifts4AllAges.com,100,2764.88,05-06-05 0:00,On Hold,Classic Cars,19,Boston,USA
Baane Mini Imports,100,5398.26,1/29/2003 0:00,Shipped,Classic Cars,42,Stavern,Norway
"La Corne D'abondance, Co.",100,4305.28,04-01-03 0:00,Shipped,Classic Cars,31,Paris,France
"Corrida Auto Replicas, Ltd",100,3347.74,5/28/2003 0:00,Shipped,Classic Cars,22,Madrid,Spain
Technics Stores Inc.,100,3188.12,7/24/2003 0:00,Shipped,Classic Cars,26,Burlingame,USA
"Dragon Souveniers, Ltd.",100,3191.2,9/19/2003 0:00,Shipped,Classic Cars,20,Singapore,Singapore
Mini Auto Werke,100,3536.82,10/21/2003 0:00,Resolved,Classic Cars,21,Graz,Austria
"Stylish Desk Decors, Co.",100,5362.83,11-06-03 0:00,Shipped,Classic Cars,33,London,UK
"Classic Gift Ideas, Inc",100,3433.36,11/13/2003 0:00,Shipped,Classic Cars,28,Philadelphia,USA
"Saveley & Henriot, Co.",100,4263.74,11/25/2003 0:00,Shipped,Classic Cars,26,Lyon,France
Diecast Collectables,100,4076.19,12-09-03 0:00,Shipped,Classic Cars,31,Boston,USA
Handji Gifts& Co,100,7020.48,02-04-04 0:00,Shipped,Classic Cars,48,Singapore,Singapore
Mini Gifts Distributors Ltd.,100,6426.5,03-11-04 0:00,Shipped,Classic Cars,50,San Rafael,USA
Super Scale Inc.,100,4591.72,05-04-04 0:00,Shipped,Classic Cars,28,New Haven,USA
Handji Gifts& Co,100,4033.38,6/15/2004 0:00,Shipped,Classic Cars,26,Singapore,Singapore
Souveniers And Things Co.,100,4302.08,7/19/2004 0:00,Shipped,Classic Cars,32,Chatswood,Australia
Diecast Classics Inc.,100,7020.64,8/19/2004 0:00,Shipped,Classic Cars,44,Allentown,USA
Scandinavian Gift Ideas,100,3855.9,09-08-04 0:00,Shipped,Classic Cars,30,Boras,Sweden
Marta's Replicas Co.,100,6680.78,10/13/2004 0:00,Shipped,Classic Cars,38,Cambridge,USA
Canadian Gift Exchange Network,100,6678,10/22/2004 0:00,Shipped,Classic Cars,40,Vancouver,Canada
Online Diecast Creations Co.,61.99,2851.54,11-04-04 0:00,Shipped,Classic Cars,46,Nashua,USA
"Volvo Model Replicas, Co",100,3188.12,11/19/2004 0:00,On Hold,Classic Cars,26,Lule,Sweden
"Australian Collectors, Co.",100,4428,11/29/2004 0:00,Shipped,Classic Cars,27,Melbourne,Australia
